Food_Code,Food_Name,Description,Group,Protein,Fat,Carbohydrate,Energy,Total_sugars
17-678,"Brown sauce, reduced salt/sugar",Estimated from brown sauce and label data,WCN,0.7,0.1,20,88,14.1
11-1127,"Brownies, chocolate, homemade",Recipe,AN,6.2,30.8,54.3,506,46.1
13-630,"Brussels sprouts, boiled in unsalted water","11 samples, UK, including standard, peeled and baby. Base trimmed and outer leaves removed, boiled for 4-10 minutes",DG,3.1,0.4,4.2,32,3.7
13-177,"Brussels sprouts, raw","Base trimmed, outer leaves removed",DG,3.5,1.4,4.1,42,3.1
15-704,"Bubble and squeak, fried in rapeseed oil, homemade","Fried cabbage and potato. Recipe from Wiles et al, 1980",DR,1.7,9,10.1,126,1.6
15-703,"Bubble and squeak, fried in sunflower oil, homemade","Fried cabbage and potato. Recipe from Wiles et al, 1980",DR,1.7,9.1,10.2,128,1.6
11-006,"Buckwheat, groats",Literature sources,AA,8.1,1.5,84.9,364,0.4
17-823,"Build up, powder, shake, assorted flavours","Manufacturer's data (Nestlé). Average of chocolate, strawberry, banana and vanilla flavours",PAA,20.5,0.7,63,325,62
17-728,"Build-up powder, soup, assorted flavours","Manufacturer's data (Nestlé). Average of chicken, vegetable, tomato and potato & leek flavours",PAA,14.4,14.9,57.3,407,14.3
19-651,"Burger, beef, 62-85% beef, raw","10 samples, 6 brands containing onion, frozen and chilled",MBG,15.9,15.2,4.9,219,2.7
19-546,"Burger, beef, 62-85%, beef, grilled","Beefburgers with added onion. 10 samples, 6 brands, frozen and chilled",MBG,18.3,13.8,8.5,229,2.1
19-490,"Burger, beef, 98-99% beef, fried in vegetable oil","8 samples, 3 brands, chilled and frozen",MBG,28.5,23.9,0.1,329,0.1
19-491,"Burger, beef, 98-99% beef, grilled","8 samples, 3 brands, chilled and frozen",MBG,26.5,24.4,0.1,326,0.1
19-492,"Burger, beef, 98-99% beef, raw","8 samples, 3 brands, chilled and frozen",MBG,17.1,24.7,0.1,291,0.1
19-553,"Burger, beef, fried in rapeseed oil, homemade",Recipe,MR,23.9,21.9,1.1,297,0.8
19-555,"Burger, beef, grilled, homemade",Recipe,MR,25,20.3,1.1,288,0.9
19-554,"Burger, beef, with bun, fried in rapeseed oil, homemade",Recipe,MR,21,18.6,10.3,291,1.1
19-556,"Burger, beef, with bun, grilled, homemade",Recipe,MR,21.9,17.4,10.3,283,1.1
19-493,"Burger, Big Mac, takeaway","Includes two beefburgers, bun, sauce, cheese, lettuce, onions and pickles",MBG,13.1,11.2,20.9,232,3.9
19-545,"Burger, cheeseburger, takeaway","Includes beefburger, bun, cheese, mustard, ketchup, onions and pickles",MBG,13.6,10.4,28.3,254,5.7
19-315,"Burger, chicken, takeaway","Includes chicken burger, bun, lettuce and mayonnaise",MBG,12.5,10.8,23.4,235,N
18-502,"Burger, chicken/turkey, coated, retail, grilled","10 samples, 7 products, breaded and battered",MCA,14.2,15.5,18.7,266,0.9
19-544,"Burger, hamburger, takeaway","Includes bun, beefburger, mayonnaise, lettuce, tomato, ketchup, onions and pickles",MBG,13.5,8.3,31.2,246,6.6
19-487,"Burger, Quarter Pounder with cheese, takeaway","Portion includes a quarter pound beefburger, ketchup, mustard, onions, pickles and slice of cheese",MBG,16.3,13.2,21.2,263,5.5
19-514,"Burger, Whopper, takeaway","Portion includes bun, beefburger, mayonnaise, lettuce, tomato, ketchup, onions and pickles",MBG,10.4,12.1,19.2,223,4.2
17-685,"Butter, salted","Average of UK/Irish, Danish, French, New Zealand",OA,0.6,82.2,0.6,744,0.6
17-655,"Butter, spreadable (75-80% fat)","9 samples, 7 products, containing butter and vegetable oil, including Anchor, Lurpak, Country Life and own brand equivalents",OA,0.4,79.1,0.5,715,0.5
17-656,"Butter, spreadable, light (60% fat)","11 samples, 7 products, containing vegetable oil, including Anchor Lighter, Lurpak Lighter, Country Life Lighter and own brand equivalents",OA,0.5,60.2,0.8,547,0.8
17-661,"Butter, unsalted","Average of UK/Irish, Danish, French, New Zealand",OA,0.6,82.2,0.6,744,0.6
17-001,"Butteroil, unsalted",Calculated from butter,OB,0.6,99.3,Tr,896,Tr
19-631,"Cabbage leaves, stuffed with lamb and rice, homemade",Recipe,MR,7.1,4.2,8.3,100,1.6
13-581,"Cabbage, average, boiled in unsalted water",Average of green and white cabbage,DG,1.1,0.2,2.8,17,2.8
13-582,"Cabbage, average, raw",Average of white (13-509) and green (13-510) cabbage,DG,1.8,0.2,4.4,26,4.4
13-187,"Cabbage, Chinese, raw","Base trimmed, outer leaves removed",DG,1,0.2,1.4,12,1.4
13-511,"Cabbage, green, boiled in unsalted water","As raw, boiled for 4-8 minutes",DG,1.5,0.2,2.3,17,2.3
13-510,"Cabbage, green, raw","22 samples, autumn and winter, UK grown and imported, pre-packed and loose",DG,2.4,0.2,4.1,27,4.1
13-540,"Cabbage, red, boiled in unsalted water","Outer leaves and stem removed. Shredded and boiled 19 minutes, based on boiled in salted water",DG,0.8,0.3,2.3,15,2
15-705,"Cabbage, red, cooked with apple",Recipe from literature sources,DR,0.9,2.6,7.9,57,7.5
13-190,"Cabbage, red, raw",Outer leaves and stem removed,DG,1.1,0.3,3.7,21,3.3
13-584,"Cabbage, white, boiled in unsalted water",Calculated from 13-509 using dry matter weights,DG,0.8,0.1,3.2,16,3.2
13-509,"Cabbage, white, raw","19 samples, autumn and winter, UK grown and imported, pre-packed and loose",DG,1.2,0.1,4.8,24,4.8
11-740,"Cake bars, chocolate","10 samples, 10 products, including chocolate chip, Galaxy, Milky Way, Penguin and Crunchie",AN,5,21.6,57.5,430,41.5
11-916,Cake rusks,"South Asian sweet bread, 6 samples, ethnic food store",AM,8.7,23.1,55.7,452,24.6
11-835,"Cake, battenberg, retail","10 samples, 4 products, including standard and mini cakes",AN,4.4,9.9,65.9,354,56.8
11-836,"Cake, carrot, iced, retail","10 samples, 8 products, including plain carrot and products with orange and walnuts",AN,4.2,20.2,46.8,374,34.5
11-1041,"Cake, carrot, with topping, homemade","Recipe, with topping",AN,4,21.1,37.7,346,23.7
11-1044,"Cake, cherry, homemade",Recipe,AN,5,14.4,66.5,398,40
11-527,"Cake, chocolate fudge","12 samples, 6 brands. Mixture of fresh and frozen",AN,5.2,14.3,55.7,358,43.5
11-1046,"Cake, chocolate, not filled, homemade",Recipe,AN,7.3,24.1,51.3,438,28.5
11-1047,"Cake, chocolate, with butter icing, homemade",Recipe,AN,5.8,25.2,53.8,452,35.7
11-830,"Cake, chocolate, with filling and icing, retail","10 samples, 7 products, including celebration cakes, tray bakes and layer cakes",AN,4.5,23.7,48.6,413,36.6
11-1053,"Cake, coconut, homemade",Recipe,AN,6.7,22.1,52.6,423,21.3
11-829,"Cake, fruit, retail","10 samples, 9 products, including Genoa, sultana and cherry slab, Manor House and country slices",AN,4.5,12.1,55.2,334,39.6
11-1005,"Cake, fruit, rich, homemade",Recipe,AN,4,11.1,61.5,349,49.6
11-991,"Cake, fruit, rich, iced, homemade",With marzipan and royal icing. Recipe,AN,3.7,9.6,67,355,58.9
11-1072,"Cake, fruit, wholemeal, homemade",Recipe,AN,5.8,14.1,52.4,366,29.2
11-1090,"Cake, lardy, homemade",Recipe,AN,6.7,15.7,53.7,369,10
11-833,"Cake, loaf, retail","7 samples, 2 products, including ginger and golden syrup",AN,3.3,11,56.2,323,33.5
11-957,"Cake, sponge, fatless, homemade",Not filled recipe,AN,9.9,5.6,53.9,292,30.6
11-956,"Cake, sponge, homemade",Not filled. Recipe,AN,6.4,26.4,53.1,463,30.3
11-832,"Cake, sponge, soft iced, retail","10 samples, 8 products, including angel cake, Madeira and lemon drizzle",AN,4.8,15.8,55,368,39
11-1118,"Cake, sponge, with butter icing, homemade",Recipe,AN,4.5,27.3,56.2,476,40
11-532,"Cake, sponge, with dairy cream and jam, frozen","10 samples, 8 brands",AN,4.3,10.9,43.9,280,24.3
11-831,"Cake, sponge, with jam and butter cream, retail","10 samples, 8 products, including sandwich and Swiss roll",AN,3.7,14.8,55.1,354,37.6
11-1125,"Cake, Swiss roll, homemade",Recipe,AN,7.4,4.2,58.4,286,42.2
11-834,"Cake, Swiss rolls, chocolate covered and filled, retail","10 samples, 5 products, including large, individual and bite-sized rolls",AN,4.5,22.7,51,414,41.2
11-840,Cakes from 'healthy eating' ranges,"10 samples, 7 products, including carrot, lemon and apple slices",AN,3.3,2.5,58.8,257,47.4
11-990,"Cakes, crispie, homemade",Chocolate recipe,AN,5.5,18,73.7,460,43
11-839,"Cakes, fancy iced, individual, retail","10 samples, 8 products, including French and fondant fancies, cup cakes, fairy cakes, angel and lemon slices",AN,3.3,16.8,57.6,381,44.1
16-404,"Calamari, coated in batter, baked","5 samples, 2 products, frozen",JM,8.5,17.5,25.9,288,Tr
15-706,"Callaloo and cho cho, homemade",West Indian dish. Spinach and cho cho. Recipe from a personal collection,DR,1.9,6.6,2.6,77,2.2
15-707,"Callaloo and okra, homemade",West Indian dish. Spinach and okra. Recipe from a personal collection,DR,1.8,6.4,2.2,73,1.9
15-708,"Cannelloni, spinach, homemade","Recipe, Pasta tubes with spinach and ricotta filling. Recipe from dietary survey records",DR,5.2,6.9,15.4,140,2
15-709,"Cannelloni, vegetable, homemade",Pasta tubes with mixed vegetable filling. Recipe from dietary survey records,DR,4.9,8.5,15.5,155,2.4
17-649,"Caramel bars and sweets, chocolate covered","10 samples, 6 brands, including Cadbury's Caramel, Curly Wurly, Rolo, Galaxy Caramel, Toffee Poppets and own brands",SEA,4.2,23.6,70.2,493,56
13-808,Caraway seeds,Literature sources,H,19.8,14.6,N,N,N
19-558,"Carbonnade of Beef, homemade",Recipe,MR,12.7,6.5,5.2,134,2.7
13-809,"Cardamom, ground",Literature sources,H,10.8,6.7,N,N,N
16-172,"Carp, raw",Literature sources,JA,17.5,4.7,0,112,0
13-607,Carrot juice,"7 samples, 3 brands. Bottles and cartons",DG,0.5,0.1,5.7,24,5.7
13-497,"Carrots, old, boiled in unsalted water","As raw, boiled for 5-10 minutes",DG,0.5,0.5,6,29,5.5
13-498,"Carrots, old, microwaved","As raw, cooked for 3-8 minutes",DG,0.6,0.2,7.5,32,7.2
13-496,"Carrots, old, raw","22 samples, autumn and winter, UK grown, pre-packed and loose, top and tailed, peeled and not peeled",DG,0.5,0.4,7.7,34,7.2
13-449,"Carrots, young, boiled in unsalted water","Ends trimmed, scrubbed, sliced and boiled 15 minutes",DG,0.6,0.4,4.4,22,4.2
13-565,"Carrots, young, canned in water, re-heated, drained","10 cans, 5 brands, no added salt",DG,0.5,0.3,4.2,20,3.7
13-448,"Carrots, young, raw","Ends trimmed, scrubbed",DG,0.7,0.5,6,30,5.6
14-060,"Cashew fruit, flesh only",Literature sources,FA,0.9,0.4,6.8,33,6.8
14-811,"Cashew nuts, kernel only, plain","20 samples, whole and broken kernels",GA,17.7,48.2,18.1,573,4.6
14-812,"Cashew nuts, kernel only, roasted and salted","10 samples, kernels only",GA,20.5,50.9,18.8,611,5.6
13-209,"Cassava, baked",Literature sources and calculation from raw,DG,0.7,0.2,40.1,155,1.6
13-210,"Cassava, boiled in unsalted water",Literature sources and calculation from raw,DG,0.5,0.2,33.5,130,1.4
13-212,"Cassava, frozen, raw",5 samples (Proscana),DG,0.6,0.2,36.3,140,1
13-208,"Cassava, raw",Literature sources,DG,0.6,0.2,36.8,142,1.5
13-211,"Cassava, steamed",Literature sources and calculation from raw,DG,0.6,0.2,36.8,142,1.5
15-712,"Casserole, bean and mixed vegetable, homemade",Recipe adapted from a recipe from Leeds Polytechnic.,DR,2.7,0.7,6.6,42,3.4
15-713,"Casserole, bean and root vegetable, homemade",Recipe from dietary survey records. Mixed beans and vegetables,DR,3,0.6,8.4,48,3.2
19-470,"Casserole, beef, made with cook-in sauce",Recipe,MR,15,6.6,4.8,137,2.7
19-612,"Casserole, pork and apple, homemade",Recipe,MR,11,2.9,7.5,100,4.3
19-536,"Casserole, pork, made with cook-in sauce",Recipe,MR,17,7.9,4,154,2.3
19-623,"Casserole, rabbit, homemade",Recipe,MR,11.4,4.8,2.2,97,1.1
19-484,"Casserole, sausage, homemade",Recipe,MR,11.9,10.9,5.2,165,2
15-714,"Casserole, sweet potato and green banana, homemade",Recipe. West Indian dish. Recipe from a personal collection,DR,1.2,6.5,31.2,181,24.6
15-638,"Casserole, vegetable, homemade",Recipe from dietary survey records,DR,2.1,0.4,10.6,52,5.1
16-008,"Catfish, flesh only, steamed",Middle cuts,JA,21.4,3.7,0,119,0
16-009,"Catfish, flesh only, steamed, weighed with bones",Calculated from steamed 16-008,JA,18.2,3.1,0,101,0
16-007,"Catfish, raw",Literature sources,JA,17.6,2.8,0,96,0
15-639,"Cauliflower cheese, made with semi-skimmed milk, homemade",Recipe,DR,5.3,5.9,6.2,97,3.2
15-710,"Cauliflower cheese, made with skimmed milk, homemade",Recipe,DR,5.3,5.6,6.2,94,3.2
15-711,"Cauliflower cheese, made with whole milk, homemade",Recipe,DR,5.3,6.4,6.1,102,3.1
15-637,"Cauliflower cheese, retail",Recipe and industry data,DR,4.2,5.8,5,88,1.9
15-715,"Cauliflower in white sauce, made with semi-skimmed milk, homemade",Recipe,DR,2.7,3.2,6,63,3.3
15-716,"Cauliflower in white sauce, made with skimmed milk, homemade",Recipe,DR,2.8,2.8,6,58,3.3
15-717,"Cauliflower in white sauce, made with whole milk, homemade",Recipe,DR,2.7,4.2,6.2,72,3.2
15-718,"Cauliflower with onions and chilli pepper, homemade","Recipe, Bangladeshi dish",DR,1.8,3.4,4.6,55,3.3
13-513,"Cauliflower, boiled in unsalted water","As raw, boiled for 4-8 minutes",DG,1.9,0.9,3.5,29,2.4
13-512,"Cauliflower, raw","22 samples, autumn and winter, UK grown and imported, pre-packed and loose",DG,2.5,0.4,4.4,30,2.9
16-272,"Caviare, bottled in brine, drained",Literature sources. Lumpfish roe,JR,10.9,5.4,0,92,0
13-585,"Celeriac, boiled in unsalted water","As raw; diced and boiled 20 minutes, calculated from boiled in salted water",DG,0.9,0.5,1.9,15,1.5
13-219,"Celeriac, raw","Top and root trimmed, peeled",DG,1.2,0.4,2.3,18,1.8
13-810,Celery seeds,Literature sources,H,18.1,25.3,N,N,N
13-637,"Celery, boiled in unsalted water","Calculated from raw. Water analysed, 2017. 11 samples, UK, including whole heads, hearts and sticks, stem only. Sliced and boiled for 5-10 minutes",DG,0.3,0.1,0.8,5,0.8
13-636,"Celery, raw","11 samples, UK, including whole heads, hearts and sticks, stem only",DG,0.5,0.1,1.4,9,1.4
11-819,"Cereal bars, with fruit and/or nuts, no chocolate, unfortified","5 samples, 5 products, including Jordan's frusli and Alpen chewy bars",AM,5.6,10.7,62.9,354,34.3
11-818,"Cereal bars, with fruit and/or nuts, with chocolate, unfortified","5 samples, 4 products, including Cadbury Brunch, Tracker cereal and Alpen cereal bars",AM,6,18.3,66,436,40.7
11-987,"Chapatis, made with fat, retail",6 samples,AF,8.1,12.8,48.3,328,1.8
11-459,"Chapatis, made without fat",Analysed and calculated values,AF,7.3,1,43.7,202,1.6
13-224,"Chard, Swiss, boiled in unsalted water",Literature sources,DG,1.9,0.1,3.2,20,0.4
13-223,"Chard, Swiss, raw",Literature sources,DG,1.8,0.2,2.9,19,0.6
11-997,"Cheese and onion rolls, pastry, retail","Oven-baked pastry, 3 brands",AT,8.2,20,30.4,327,3
12-561,"Cheese pudding, homemade","Recipe including breadcrumbs, milk, cheese and eggs",BV,10.6,9.3,11.7,170,3.1
17-665,"Cheese sauce, made with semi-skimmed milk, homemade",Recipe,WCD,8.2,12.8,9,182,4.2
17-773,"Cheese sauce, made with skimmed milk, homemade",Recipe,WCD,8.2,11.6,9.1,172,4.3
17-775,"Cheese sauce, made with whole milk, homemade",Recipe,WCD,8.2,14.6,8.9,197,4.1
17-666,"Cheese sauce, packet mix, made up with semi-skimmed milk, homemade",Recipe,WCD,5.8,5.2,9.7,106,5.3
17-780,"Cheese sauce, packet mix, made up with skimmed milk, homemade",Recipe,WCD,5.6,2.4,9.2,79,5.3
17-781,"Cheese sauce, packet mix, made up with whole milk, homemade",Recipe,WCD,5.5,5.7,9,108,5.1
12-540,"Cheese spread, plain","20 samples, 7 brands, portions and tubs",BL,11.3,18.6,6.5,237,6.5
12-537,"Cheese spread, plain, reduced fat","13 samples, 9 brands, portions and tubs",BL,15,7.2,7.9,154,7.3
11-824,"Cheese straws/twists, retail","10 samples, 7 products, including cheese straws, twists and crispies",AM,14.1,30.3,48.3,510,1.6
12-491,"Cheese, Brie, rind only","10 samples, sampled in autumn and spring",BL,16.5,26.4,,304,
12-344,"Cheese, Brie, with outer rind removed",20 samples,BL,20.3,29.1,Tr,343,Tr
12-132,"Cheese, Caerphilly",10-20 samples,BL,23.2,31.3,0.1,375,0.1
12-345,"Cheese, Camembert",18 samples,BL,21.5,22.7,Tr,290,Tr
12-548,"Cheese, Cheddar type, '30% less fat'","Including Cathedral City lighter, Pilgrims Choice lighter mature cheese and other/own brands",BL,27.9,22.1,0.8,314,0.1
12-348,"Cheese, Cheddar type, half fat",16 samples,BL,32.7,15.8,Tr,273,Tr
12-346,"Cheese, Cheddar, English","20 samples of English cheddar, including mild and mature, spring and autumn",BL,25.4,34.9,0.1,416,0.1
12-539,"Cheese, cottage, plain",16 samples,BL,9.4,6,3.1,103,3.1
12-550,"Cheese, cottage, plain, reduced fat",20 samples,BL,10.6,1.5,3.3,68,3.3
12-354,"Cheese, Danish blue",18 samples,BL,20.5,28.9,Tr,342,Tr
12-152,"Cheese, Derby",10-14 samples,BL,24.2,33.9,0.1,402,0.1
12-494,"Cheese, Dolcelatte, rind removed","7 samples, each sampled in spring and autumn",BL,18,35.8,Tr,394,Tr
12-487,"Cheese, Double Gloucester","10 samples, sampled in spring and autumn",BL,24.4,35,0.1,413,0.1
12-355,"Cheese, Edam",20 samples,BL,26.7,26,Tr,341,Tr
12-493,"Cheese, Emmental","9 samples, sampled in spring and autumn",BL,30.2,30.9,Tr,399,Tr
12-525,"Cheese, Feta","18 samples, made from sheeps and goats milk",BL,15.6,20.2,1.5,250,1.5
12-357,"Cheese, goats milk, full fat, soft, white rind","16 samples, English and French",BL,21.1,25.8,1,320,1
12-358,"Cheese, Gouda",18 samples,BL,25.3,30.6,Tr,377,Tr
12-164,"Cheese, Gruyere",10 samples,BL,27.2,33.3,Tr,409,Tr
12-496,"Cheese, Halloumi","9 samples, sampled in spring and autumn",BL,23.9,23.5,1.7,313,1.7
12-604,"Cheese, hard, average","Average of English Cheddar, Red Leicester and Double Gloucester",BL,24.9,34.5,0.1,411,0.1
12-488,"Cheese, Lancashire","10 samples, sampled in spring and autumn",BL,24.1,31.7,0.1,382,0.1
12-490,"Cheese, Mascarpone","8 samples, sampled in spring and autumn",BL,4.6,44.5,4.3,435,4.3
12-360,"Cheese, Mozzarella, fresh","18 samples, soft, not grated",BL,18.6,20.3,Tr,257,Tr
12-495,"Cheese, Paneer","9 samples, sampled in spring and autumn",BL,26,24.5,0.9,328,0.9
12-526,"Cheese, Parmesan, fresh","8 samples, wedges/freshly grated",BL,36.2,29.7,0.9,415,0.9
12-492,"Cheese, Port Salut, St Paulin type","10 samples, sampled at spring and autumn",BL,25.5,25.7,Tr,333,Tr
12-527,"Cheese, processed, plain","20 samples, 7 brands",BL,17.8,23,5,297,5
12-549,"Cheese, processed, slices, reduced fat","Including Dairylea Light Slices, Kerry Low Low Cheesy Slices for Burgers and other/own brands",BL,16.7,9.6,9.7,190,7.6
12-173,"Cheese, processed, smoked",10 assorted varieties,BL,20.5,24.5,0.2,303,0.2
12-174,"Cheese, Quark","Skimmed milk soft cheese (Magerquark), 10 samples",BL,14.6,Tr,4,74,4
12-485,"Cheese, Red Leicester","10 samples, sampled in spring and autumn",BL,25,33.6,0.1,403,0.1
12-175,"Cheese, Red Windsor",10 samples,BL,24.4,33.7,Tr,401,Tr
12-176,"Cheese, Ricotta",Analysis and literature sources,BL,9.4,11,2,144,2
12-177,"Cheese, Roquefort",10 samples,BL,19.7,32.9,Tr,375,Tr
12-178,"Cheese, Sage Derby","10 samples, proximates as Derby",BL,24.2,33.9,0.1,402,0.1
12-551,"Cheese, spreadable, full fat, soft, white","20 samples, including Philadelphia and own brands",BL,5.3,24.4,3,252,3
12-538,"Cheese, spreadable, medium fat, soft, white","20 samples, including Philadelphia light and own brands",BL,9.8,11.2,3.5,153,3.5
12-541,"Cheese, spreadable, soft white, low fat",18 samples of extra light soft cheese spreads,BL,11.9,3.6,5,99,5
12-367,"Cheese, Stilton, blue",20 samples,BL,23.7,35,0.1,410,0.1
12-181,"Cheese, Stilton, white",3-10 samples,BL,19.9,31.3,0.1,362,0.1
12-489,"Cheese, Wensleydale","9 samples, sampled in spring and autumn",BL,23.7,31.8,0.1,381,0.1
12-486,"Cheese, White Cheshire","9 samples, sampled in spring and autumn",BL,23.4,31.8,0.1,380,0.1
12-368,"Cheese, white, average","Average of Cheshire, Lancashire and Wensleydale",BL,23.7,31.8,0.1,381,0.1
12-395,"Cheesecake, fruit, frozen","10 samples, assorted flavours, fruit topping",BR,4,16.2,35.2,294,25
12-542,"Cheesecake, fruit, individual","8 samples, 3 brands including strawberry, apricot, blackcurrant and cherry",BR,6.1,12.3,34.5,264,25.4
12-562,"Cheesecake, homemade",Recipe,BR,6.2,22.8,25.4,325,15.5
11-1043,"Chelsea buns, homemade",Recipe. Ref. Wiles et al. (1980),AP,7.8,12.5,57.8,361,21
14-382,"Cherries, flesh and skin, raw","11 samples, UK and imported",FA,1.2,0.4,14.6,63,14.6
14-383,"Cherries, flesh and skin, raw, weighed with stones",Calculated from 14-382,FA,1.1,0.4,13.4,58,13.4
14-335,"Cherries, glace","10 samples, 8 brands; red and multicoloured",FA,0.4,Tr,78.1,294,N
14-063,"Cherries, stewed with sugar","Calculated from 900g fruit, 200g water, 108g sugar",FA,0.7,0.1,21,82,21
14-064,"Cherries, stewed with sugar, weighed with stones",Calculated from 14-063,FA,0.6,0.1,18.1,71,18.1
14-065,"Cherries, stewed without sugar","Calculated from 900g fruit, 200g water",FA,0.8,0.1,10.1,42,10.1
14-066,"Cherries, stewed without sugar, weighed with stones",Calculated from 14-065,FA,0.6,0.1,8.6,36,8.6
14-069,"Cherries, West Indian, flesh only","Acerola, literature sources",FA,0.4,0.4,5,24,5
13-811,"Chervil, dried",Literature sources,H,23.2,3.9,37.8,237,N
14-815,"Chestnuts, dried",Literature sources and calculation from 14-813,GA,3.7,5.1,69,319,13.2
14-813,"Chestnuts, kernel only, raw",Analysis and literature sources,GA,2,2.7,36.6,170,7
14-814,"Chestnuts, kernel only, raw, weighed with shells",Calculated from 14-813,GA,1.6,2.2,30.4,140,5.8
17-782,"Chevda/chevra/chewra, homemade",Recipe,SNC,18.6,31.8,35.5,487,N
18-504,"Chicken breast/steak, coated, baked","8 samples, 7 products, breaded and battered",MCA,17.7,11.6,15.8,234,1.1
19-560,"Chicken chasseur, homemade",Recipe,MR,13.5,1.5,2.3,78,1.1
19-663,"Chicken chasseur, homemade, weighed with bone",Recipe. Calculated from 19-350 using 0.89 conversion factor,MR,12,1.3,2,69,1
19-561,"Chicken fricassee, homemade",Recipe,MR,10,6.1,2.8,115,1.5
19-562,"Chicken fricassee, reduced fat, homemade",Recipe,MR,10.2,4.2,3.2,101,2
19-563,"Chicken in white sauce, made with semi-skimmed milk",Recipe,MR,17,7.7,5,156,2.3
19-564,"Chicken in white sauce, made with whole milk",Recipe,MR,17,9,5.2,168,2.2
18-501,"Chicken pieces, coated, takeaway","8 samples, 7 products, including chicken nuggets, chicken bites and popcorn chicken",MCA,18.5,14.1,17.6,267,Tr
18-500,"Chicken portions, battered, deep fried, takeaway","6 samples from fast food chains, including KFC",MCA,24.8,12.8,4.8,233,0
19-323,"Chicken satay, takeaway",10 samples,MR,21.7,10.3,3,191,1.6
19-538,Chicken slices,7 samples including smoked and wafer thin chicken breast. 80-100% meat,MI,23.2,1.5,2,114,0.2
17-697,"Chicken soup, cream of, canned, condensed, as served",7 cans of the same brand. Diluted with an equal volume of water,WAC,1.3,2.9,3,43,0.7
19-541,"Chicken wings, marinated, meat and skin, barbecued","4 samples including American and Chinese style and hot and spicy wings, chilled and frozen",MR,27.4,16.6,4.1,274,3.6
19-652,"Chicken wings, marinated, meat and skin, barbecued, weighed with bone",Calculated from 19-541,MR,17.8,10.8,2.7,179,2.3
18-308,"Chicken, breast, casseroled, meat and skin",Calculated from 90% light meat and 10% skin from fresh and frozen chicken,MCA,26.9,8.5,0,184,0
18-309,"Chicken, breast, casseroled, meat and skin, weighed with bone",Calculated from 18-308,MCA,24.2,7.6,0,165,0
18-307,"Chicken, breast, casseroled, meat only",Calculated from light meat from fresh and frozen chicken,MCA,28.4,5.2,0,160,0
18-324,"Chicken, breast, grilled with skin, meat only",17 samples,MCA,29.8,3.1,0,147,0
18-323,"Chicken, breast, grilled without skin, meat only",10 samples,MCA,32,2.2,0,148,0
18-325,"Chicken, breast, grilled, meat and skin",Calculated from 92% light meat and 8% skin from fresh and frozen chicken,MCA,28.9,6.4,0,173,0
18-326,"Chicken, breast, strips, stir-fried in corn oil","10 samples, skinless",MCA,29.7,4.6,0,161,0
18-299,"Chicken, corn-fed, raw, dark meat only",6 samples,MCA,19.5,7.2,0,143,0
18-300,"Chicken, corn-fed, raw, light meat only",6 samples,MCA,23,2.8,0,118,0
18-301,"Chicken, corn-fed, raw, meat only",Calculated from 54% light meat and 46% dark meat,MCA,21.4,4.8,0,129,0
18-302,"Chicken, corn-fed, raw, skin only",6 samples,MCA,10.1,52.7,0,514,0
18-343,"Chicken, corn-fed, roasted, dark meat only",6 samples,MCA,24,9.8,0,185,0
18-344,"Chicken, corn-fed, roasted, light meat only",6 samples,MCA,25.8,4.2,0,141,0
18-345,"Chicken, corn-fed, roasted, meat only",Calculated from 48% light meat and 52% dark meat,MCA,24.9,7.2,0,164,0
18-289,"Chicken, dark meat, raw","31 samples, fresh and frozen",MCA,20.9,2.8,0,109,0
18-329,"Chicken, dark meat, roasted","19 samples, fresh and frozen",MCA,24.4,10.9,0,196,0
18-311,"Chicken, drumsticks, casseroled, meat and skin","Calculated from 85% dark meat and 15% skin, fresh and frozen",MCA,22.3,14.2,0,217,0
18-312,"Chicken, drumsticks, casseroled, meat and skin, weighed with bone",Calculated from 18-311,MCA,14.5,9.2,0,141,0
18-310,"Chicken, drumsticks, casseroled, meat only",Calculated from dark meat,MCA,24.3,9.7,0,185,0
18-335,"Chicken, drumsticks, roasted, meat and skin","Calculated from 89% dark meat and 11% skin, fresh and frozen",MCA,25.8,9.1,0,185,0
18-336,"Chicken, drumsticks, roasted, meat and skin, weighed with bone",Calculated from 18-335,MCA,16.2,5.7,0,116,0
18-334,"Chicken, drumsticks, roasted, meat only",20 samples of a mixture of fresh and frozen drumsticks,MCA,26.6,5.1,0,152,0
18-314,"Chicken, leg quarter, casseroled, meat and skin","Calculated from 21% light meat, 62% dark meat and 17% skin from fresh and frozen chicken",MCA,22.9,13.9,0,217,0
18-315,"Chicken, leg quarter, casseroled, meat and skin, weighed with bone",Calculated from 18-314,MCA,14.4,8.8,0,137,0
18-313,"Chicken, leg quarter, casseroled, meat only",Calculated from 25% light meat and 75% dark meat from fresh and frozen chicken,MCA,25,8.4,0,176,0
18-293,"Chicken, leg quarter, raw, meat and skin",Calculated from 77% dark meat and 23% skin,MCA,18.3,13.3,0,193,0
18-294,"Chicken, leg quarter, raw, meat and skin, weighed with bone",Calculated from 18-293,MCA,12.6,9.2,0,133,0
18-337,"Chicken, leg quarter, roasted, meat and skin",20 samples,MCA,20.9,16.9,0,236,0
18-338,"Chicken, leg quarter, roasted, meat and skin, weighed with bone",Calculated from 18-337,MCA,10.7,8.6,0,120,0
18-290,"Chicken, light meat, raw","31 samples, fresh and frozen",MCA,24,1.1,0,106,0
